,eps,uppers,lowers,means,means_upper,means_lower
0,0.0,15.417914479465143,-15.443057891747124,-0.01257170614099055,0.0567247584152911,-0.0818681706972722
1,0.05210526315789474,14.537415475179303,-14.540511989524964,-0.0015482571728297836,0.06774820738345186,-0.07084472172911144
2,0.10421052631578948,16.183091578863845,-16.00672207962959,0.08818474961712719,0.15748121417340882,0.01888828506084554
3,0.1563157894736842,15.649951117486353,-15.571765570653845,0.03909277341625354,0.10838923797253519,-0.030203691140028105
4,0.20842105263157895,16.150540817921343,-15.963186686214884,0.09367706585322974,0.1629735304095114,0.024380601296948093
5,0.2605263157894737,15.947469579121753,-15.64130056902741,0.1530845050471723,0.22238096960345394,0.08378804049089066
6,0.3126315789473684,16.391202291715548,-15.95162487576084,0.21978870797735306,0.2890851725336347,0.15049224342107143
7,0.36473684210526314,17.0631457030936,-16.38366640920437,0.3397396469446143,0.4090361115008959,0.27044318238833265
8,0.4168421052631579,17.24381575428981,-16.69484636579877,0.2744846942455195,0.34378115880180116,0.2051882296892379
9,0.46894736842105267,17.973628139035377,-17.337344236637982,0.3181419511986957,0.38743841575497734,0.24884548664241407
10,0.5210526315789474,17.584588271569654,-16.688637794382938,0.44797523859335947,0.5172717031496411,0.37867877403707784
11,0.5731578947368421,18.40430785617518,-17.35507766569284,0.5246150952411709,0.5939115597974526,0.45531863068488926
12,0.6252631578947369,19.888602041735155,-18.47820783331268,0.7051971042112368,0.7744935687675185,0.6359006396549551
13,0.6773684210526316,19.232880902976866,-17.837013710446207,0.6979335962653291,0.7672300608216108,0.6286371317090474
14,0.7294736842105263,20.12740790184281,-18.65552904516484,0.7359394283389842,0.8052358928952659,0.6666429637827025
15,0.781578947368421,20.230668700986314,-18.447443700179264,0.8916125004035251,0.9609089649598068,0.8223160358472434
16,0.8336842105263158,21.43532801025882,-19.681790744661228,0.8767686327987977,0.9460650973550794,0.807472168242516
17,0.8857894736842106,22.47293026561423,-20.488260566316754,0.992334849648738,1.0616313142050195,0.9230383850924563
18,0.9378947368421053,23.823031831489576,-21.73265354461908,1.045189143435247,1.1144856079915286,0.9758926788789652
19,0.99,22.28291935417443,-20.045340906674703,1.1187892237498647,1.1880856883061464,1.049492759193583
